language,term,translation,parent,status,link_status,tags,pronunciation
Spanish,licencia,"license,leave, 
Present él/ella/usted conjugation of licenciar, 
Affirmative imperative tú conjugation of licenciar","licencia, licenciar, licenciar",1,Y,,
Spanish,inspiración,inspiration,,1,,,
Spanish,presentará,"Future él/ella/usted conjugation of presentar, 
Imperfect subjunctive yo conjugation of presentar, 
Imperfect subjunctive él/ella/usted conjugation of presentar","presentar, presentar, presentar",1,Y,,
Spanish,madurez,"maturity, ripeness",,1,,,
Spanish,rodeado,"surrounded, 
surrounded","rodeado, rodear",1,Y,,
Spanish,lucas,"crazy, 
Luke","lucas, luca, Lucas",1,Y,,
Spanish,entregado,"devoted,selfless","entregado, entregar",1,Y,,
Spanish,quita,"release, 
Present él/ella/usted conjugation of quitar, 
Affirmative imperative tú conjugation of quitar","quita, quitar, quitar",1,Y,,
Spanish,recomendaciones,recommendations,recomendación,1,Y,,
Spanish,traído,"worn, 
brought","traído, traer",1,Y,,
Spanish,estrecho,"narrow, 
Present yo conjugation of estrechar, 
Preterite él/ella/usted conjugation of estrechar","estrecho, estrechar, estrechar",1,Y,,
Spanish,pro,"pro, 
","pro, pro-",1,Y,,
Spanish,restauración,restoration,,1,,,
Spanish,impresionante,impressive,,1,,,
Spanish,inauguración,inauguration,,1,,,
Spanish,eficiencia,efficiency,,1,,,
Spanish,gustan,Present ellos/ellas/ustedes conjugation of gustar,gustar,1,Y,,
Spanish,picado,"chopped, 
stung","picado, picar",1,Y,,
Spanish,polo,pole,,1,,,
Spanish,restauración,restoration,,1,,,
Spanish,detectar,to detect,,1,,,
Spanish,lucas,"crazy, 
Luke","lucas, luca, Lucas",1,Y,,
Spanish,eficiencia,efficiency,,1,,,
Spanish,exista,"Subjunctive yo conjugation of existir, 
Subjunctive él/ella/usted conjugation of existir, 
Affirmative imperative usted conjugation of existir","existir, existir, existir",1,Y,,
Spanish,cansado,"tired, 
tired","cansado, cansar",1,Y,,
Spanish,desarrollados,"Affirmative imperative vosotros conjugation of desarrollar, 
developed","desarrollar, desarrollado",1,Y,,
Spanish,madurez,"maturity, ripeness",,1,,,
Spanish,estadística,"statistics, 
statistician, 
statistical",estadística,1,Y,,
Spanish,seguían,Imperfect ellos/ellas/ustedes conjugation of seguir,seguir,1,Y,,
Spanish,occidentales,western,,1,,,
Spanish,escultura,sculpture,,1,,,
Spanish,gustan,Present ellos/ellas/ustedes conjugation of gustar,gustar,1,Y,,
Spanish,claros,"clearings, 
clear",,1,,,
Spanish,espectáculos,shows,espectáculo,1,Y,,
Spanish,alrededores,outskirts,"alrededores, alrededor",1,Y,,
Spanish,impresionante,impressive,,1,,,
Spanish,finca,"property, 
Present él/ella/usted conjugation of fincar, 
Affirmative imperative tú conjugation of fincar","finca, fincar, fincar",1,Y,,
Spanish,garzón,waiter,,1,,,
Spanish,africa,Africa,,1,,,
Spanish,picado,"chopped, 
stung","picado, picar",1,Y,,
Spanish,agraria,agricultural,agrario,1,Y,,
Spanish,contento,"happy, 
Present yo conjugation of contentar, 
Preterite él/ella/usted conjugation of contentar","contento, contentar, contentar",1,Y,,
Spanish,entregado,"devoted,selfless","entregado, entregar",1,Y,,
Spanish,inmenso,immense,,1,,,
Spanish,adicional,additional,,1,,,
Spanish,ojalá,"hopefully, 
Affirmative imperative vos conjugation of ojalar, 
Present él/ella/usted conjugation of ojalar","ojalá, ojalar, ojalar",1,Y,,
Spanish,tendremos,Future nosotros conjugation of tener,tener,1,Y,,
Spanish,armando,assembling,armar,1,Y,,
Spanish,profundas,deep,profundo,1,Y,,
Spanish,ambientales,environmental,ambiental,1,Y,,
Spanish,estudiado,"studied, 
studied","estudiado, estudiar",1,Y,,
Spanish,clarín,bugle,,1,,,
Spanish,presentará,"Future él/ella/usted conjugation of presentar, 
Imperfect subjunctive yo conjugation of presentar, 
Imperfect subjunctive él/ella/usted conjugation of presentar","presentar, presentar, presentar",1,Y,,
Spanish,cerro,"hill, 
Preterite él/ella/usted conjugation of cerrar","cerro, cerrar",1,Y,,
Spanish,juzgar,to judge,,1,,,
Spanish,pro,"pro, 
","pro, pro-",1,Y,,
Spanish,traer,to bring,,1,,,
Spanish,archivos,archives,archivo,1,Y,,
Spanish,privatización,privatization,,1,,,
Spanish,gordo,"fat, thick",,1,,,
Spanish,tomaron,Preterite ellos/ellas/ustedes conjugation of tomar,tomar,1,Y,,
Spanish,privatización,privatization,,1,,,
Spanish,ofertas,"Present tú conjugation of ofertar, 
offers, 
Present vos conjugation of ofertar","ofertar, oferta, ofertar",1,Y,,
Spanish,exista,"Subjunctive yo conjugation of existir, 
Subjunctive él/ella/usted conjugation of existir, 
Affirmative imperative usted conjugation of existir","existir, existir, existir",1,Y,,
Spanish,oídos,"Affirmative imperative vosotros conjugation of oír, 
heard, 
ears","oír, oír, oído",1,Y,,
Spanish,ancianos,"elderly, 
old men, 
elderly",ancianos,1,Y,,
Spanish,pro,"pro, 
","pro, pro-",1,Y,,
Spanish,juzgar,to judge,,1,,,
Spanish,garzón,waiter,,1,,,
Spanish,polo,pole,,1,,,
Spanish,compras,"shopping, 
Present tú conjugation of comprar, 
purchases","compras, comprar, compra",1,Y,,
Spanish,opuesto,opposite,"opuesto, oponer",1,Y,,
Spanish,escultura,sculpture,,1,,,
Spanish,competición,competition,,1,,,
Spanish,sencillamente,simply,,1,,,
Spanish,mérito,merit,,1,,,
Spanish,restauración,restoration,,1,,,
Spanish,organizada,organized,organizado,1,Y,,
Spanish,vuestra,"your,yours, 
your","vuestra, vuestro",1,Y,,
Spanish,representaciones,"representations, 
representations","representaciones, representación",1,Y,,
Spanish,masiva,massive,masivo,1,Y,,
Spanish,produciendo,producing,producir,1,Y,,
Spanish,lucas,"crazy, 
Luke","lucas, luca, Lucas",1,Y,,
Spanish,fantasma,ghost,,1,,,
Spanish,peruano,Peruvian,,1,,,
Spanish,catalina,"poop, 
Catherine","catalina, Catalina",1,Y,,
Spanish,fruta,"fruit, 
Present él/ella/usted conjugation of frutar, 
Affirmative imperative tú conjugation of frutar","fruta, frutar, frutar",1,Y,,
Spanish,notar,to notice,,1,,,
Spanish,negar,to deny,,1,,,
Spanish,estudiado,"studied, 
studied","estudiado, estudiar",1,Y,,
Spanish,desarrollados,"Affirmative imperative vosotros conjugation of desarrollar, 
developed","desarrollar, desarrollado",1,Y,,
Spanish,quita,"release, 
Present él/ella/usted conjugation of quitar, 
Affirmative imperative tú conjugation of quitar","quita, quitar, quitar",1,Y,,
Spanish,detectar,to detect,,1,,,
Spanish,instantes,moments,instante,1,Y,,
Spanish,eficiencia,efficiency,,1,,,
Spanish,satélite,satellite,,1,,,
Spanish,traído,"worn, 
brought","traído, traer",1,Y,,
Spanish,estrecho,"narrow, 
Present yo conjugation of estrechar, 
Preterite él/ella/usted conjugation of estrechar","estrecho, estrechar, estrechar",1,Y,,
Spanish,iniciales,"Subjunctive tú conjugation of inicialar, 
Subjunctive vos conjugation of inicialar, 
initials","inicialar, inicialar",1,Y,,
Spanish,bordo,"side, 
Present yo conjugation of bordar, 
burgundy","bordo, bordar, bordó",1,Y,,
Spanish,finca,"property, 
Present él/ella/usted conjugation of fincar, 
Affirmative imperative tú conjugation of fincar","finca, fincar, fincar",1,Y,,
Spanish,presentará,"Future él/ella/usted conjugation of presentar, 
Imperfect subjunctive yo conjugation of presentar, 
Imperfect subjunctive él/ella/usted conjugation of presentar","presentar, presentar, presentar",1,Y,,
Spanish,espectáculos,shows,espectáculo,1,Y,,
Spanish,peculiar,"peculiar, particular",,1,,,
Spanish,correspondencia,mail,,1,,,
Spanish,traer,to bring,,1,,,
Spanish,cansado,"tired, 
tired","cansado, cansar",1,Y,,
Spanish,fijo,"fixed, 
Present yo conjugation of fijar, 
Preterite él/ella/usted conjugation of fijar","fijo, fijar, fijar",1,Y,,
Spanish,madurez,"maturity, ripeness",,1,,,
Spanish,recomendaciones,recommendations,recomendación,1,Y,,
Spanish,inmenso,immense,,1,,,
Spanish,gordo,"fat, thick",,1,,,
Spanish,picado,"chopped, 
stung","picado, picar",1,Y,,
Spanish,ambientales,environmental,ambiental,1,Y,,
Spanish,álvarez,Alvarez,,1,,,
Spanish,augusto,"august, 
Augustus","augusto, Augusto",1,Y,,
Spanish,inauguración,inauguration,,1,,,
Spanish,armando,assembling,armar,1,Y,,
Spanish,clarín,bugle,,1,,,
Spanish,enfrentarse,to face,,1,,,
Spanish,creada,to create,,1,,,
Spanish,republicano,republican,,1,,,
Spanish,impresionante,impressive,,1,,,
Spanish,inspiración,inspiration,,1,,,
Spanish,vasos,glasses,vaso,1,Y,,
Spanish,contento,"happy, 
Present yo conjugation of contentar, 
Preterite él/ella/usted conjugation of contentar","contento, contentar, contentar",1,Y,,
Spanish,rodeado,"surrounded, 
surrounded","rodeado, rodear",1,Y,,
Spanish,alteración,"alteration, agitation",,1,,,
Spanish,licencia,"license,leave, 
Present él/ella/usted conjugation of licenciar, 
Affirmative imperative tú conjugation of licenciar","licencia, licenciar, licenciar",1,Y,,
Spanish,propiamente,"exactly, strictly",,1,,,
Spanish,asombro,"amazement, 
Present yo conjugation of asombrar, 
Preterite él/ella/usted conjugation of asombrar","asombro, asombrar, asombrar",1,Y,,
Spanish,bravo,fierce,,1,,,
Spanish,obstáculos,obstacles,obstáculo,1,Y,,
Spanish,rodolfo,Rudolph,,1,,,
Spanish,adicional,additional,,1,,,
Spanish,profundas,deep,profundo,1,Y,,
Spanish,irregularidades,irregularity,,1,,,
Spanish,implantación,"establishment, implantation",,1,,,
Spanish,agraria,agricultural,agrario,1,Y,,
Spanish,gobernación,governing,,1,,,
Spanish,trabajado,"well, 
worked","trabajado, trabajar",1,Y,,
Spanish,gama,"range,spectrum","gama, gamo",1,Y,,
Spanish,sagrado,"holy, sacred",,1,,,
Spanish,trigo,wheat,,1,,,
Spanish,publica,"public, audience",,1,,,
Spanish,manolo,"dandy, 
Manolo","manolo, Manolo",1,Y,,
Spanish,min,"min, 
l.c., 
Min.","min, min., Min.",1,Y,,
Spanish,cristóbal,Christopher,,1,,,
Spanish,depósitos,warehouses,depósito,1,Y,,
Spanish,fieles,"faithful, 
believers, 
believers",fieles,1,Y,,
Spanish,perdiendo,losing,perder,1,Y,,
Spanish,ternura,tenderness,,1,,,
Spanish,preso,prisoner,,1,,,
Spanish,tormenta,storm,,1,,,
Spanish,contribución,contribution,,1,,,
Spanish,peores,worse,,1,,,
Spanish,obligó,"Preterite él/ella/usted conjugation of obligar, 
Present yo conjugation of obligar","obligar, obligar",1,Y,,
Spanish,ubicado,"located, 
located","ubicado, ubicar",1,Y,,
Spanish,usan,Present ellos/ellas/ustedes conjugation of usar,usar,1,Y,,
Spanish,resuelto,"resolute,determined, 
solved","resuelto, resolver",1,Y,,
Spanish,ojalá,"hopefully, 
Affirmative imperative vos conjugation of ojalar, 
Present él/ella/usted conjugation of ojalar","ojalá, ojalar, ojalar",1,Y,,
Spanish,cerro,"hill, 
Preterite él/ella/usted conjugation of cerrar","cerro, cerrar",1,Y,,
Spanish,alrededores,outskirts,"alrededores, alrededor",1,Y,,
Spanish,rehabilitación,"rehabilitation, restoration",,1,,,
Spanish,claros,"clearings, 
clear",,1,,,
Spanish,significativa,significant,,1,,,
Spanish,integran,Present ellos/ellas/ustedes conjugation of integrar,integrar,1,Y,,
Spanish,sobrevivir,to survive,,1,,,
Spanish,llegaban,Imperfect ellos/ellas/ustedes conjugation of llegar,llegar,1,Y,,
Spanish,hallaba,"Imperfect yo conjugation of hallar, 
Imperfect él/ella/usted conjugation of hallar","hallar, hallar",1,Y,,
Spanish,denominación,name,,1,,,
Spanish,demócrata,"democrat, democratic",,1,,,
Spanish,instancias,applications,instancia,1,Y,,
Spanish,vecina,"neighbor, 
neighboring",,1,,,
Spanish,bosnia,Bosnian,,1,,,
Spanish,difícilmente,with difficulty,,1,,,
Spanish,cuchillo,knife,,1,,,
Spanish,departamentos,departments,departamento,1,Y,,
Spanish,conferencias,"Present tú conjugation of conferenciar, 
lectures, 
Present vos conjugation of conferenciar","conferenciar, conferencia, conferenciar",1,Y,,
Spanish,completar,to complete,,1,,,
Spanish,indiferencia,indifference,,1,,,
Spanish,disponible,available,,1,,,
Spanish,solicitó,"Preterite él/ella/usted conjugation of solicitar, 
attentive, 
Present yo conjugation of solicitar","solicitar, solícito, solicitar",1,Y,,
Spanish,echa,"Present él/ella/usted conjugation of echar, 
Affirmative imperative tú conjugation of echar, 
Affirmative imperative vos conjugation of echar","echar, echar, echar",1,Y,,
Spanish,eficiencia,efficiency,,1,,,
Spanish,exista,"Subjunctive yo conjugation of existir, 
Subjunctive él/ella/usted conjugation of existir, 
Affirmative imperative usted conjugation of existir","existir, existir, existir",1,Y,,
Spanish,creada,to create,,1,,,
Spanish,ofertas,"Present tú conjugation of ofertar, 
offers, 
Present vos conjugation of ofertar","ofertar, oferta, ofertar",1,Y,,
Spanish,cansado,"tired, 
tired","cansado, cansar",1,Y,,
Spanish,peculiar,"peculiar, particular",,1,,,
Spanish,juzgar,to judge,,1,,,
Spanish,armando,assembling,armar,1,Y,,
Spanish,peruano,Peruvian,,1,,,
Spanish,ambientales,environmental,ambiental,1,Y,,
Spanish,fantasma,ghost,,1,,,
Spanish,resuelto,"resolute,determined, 
solved","resuelto, resolver",1,Y,,
Spanish,adicional,additional,,1,,,
Spanish,clarín,bugle,,1,,,
Spanish,organizada,organized,organizado,1,Y,,
Spanish,entregado,"devoted,selfless","entregado, entregar",1,Y,,
Spanish,africa,Africa,,1,,,
Spanish,agraria,agricultural,agrario,1,Y,,
Spanish,obstáculos,obstacles,obstáculo,1,Y,,
Spanish,picado,"chopped, 
stung","picado, picar",1,Y,,
Spanish,escultura,sculpture,,1,,,
Spanish,profundas,deep,profundo,1,Y,,
Spanish,gustan,Present ellos/ellas/ustedes conjugation of gustar,gustar,1,Y,,
Spanish,espectáculos,shows,espectáculo,1,Y,,
Spanish,impresionante,impressive,,1,,,
Spanish,notar,to notice,,1,,,
Spanish,archivos,archives,archivo,1,Y,,
Spanish,alrededores,outskirts,"alrededores, alrededor",1,Y,,
Spanish,claros,"clearings, 
clear",,1,,,
Spanish,contento,"happy, 
Present yo conjugation of contentar, 
Preterite él/ella/usted conjugation of contentar","contento, contentar, contentar",1,Y,,
Spanish,finca,"property, 
Present él/ella/usted conjugation of fincar, 
Affirmative imperative tú conjugation of fincar","finca, fincar, fincar",1,Y,,
Spanish,presentará,"Future él/ella/usted conjugation of presentar, 
Imperfect subjunctive yo conjugation of presentar, 
Imperfect subjunctive él/ella/usted conjugation of presentar","presentar, presentar, presentar",1,Y,,
Spanish,inmenso,immense,,1,,,
Spanish,gordo,"fat, thick",,1,,,
Spanish,propiamente,"exactly, strictly",,1,,,
Spanish,álvarez,Alvarez,,1,,,
Spanish,implantación,"establishment, implantation",,1,,,
Spanish,republicano,republican,,1,,,
Spanish,ternura,tenderness,,1,,,
Spanish,sagrado,"holy, sacred",,1,,,
Spanish,bordo,"side, 
Present yo conjugation of bordar, 
burgundy","bordo, bordar, bordó",1,Y,,
Spanish,augusto,"august, 
Augustus","augusto, Augusto",1,Y,,
Spanish,restauración,restoration,,1,,,
Spanish,catalina,"poop, 
Catherine","catalina, Catalina",1,Y,,
Spanish,vasos,glasses,vaso,1,Y,,
Spanish,enfrentarse,to face,,1,,,
Spanish,fieles,"faithful, 
believers, 
believers",fieles,1,Y,,
Spanish,compras,"shopping, 
Present tú conjugation of comprar, 
purchases","compras, comprar, compra",1,Y,,
Spanish,garzón,waiter,,1,,,
Spanish,inspiración,inspiration,,1,,,
Spanish,polo,pole,,1,,,
Spanish,fijo,"fixed, 
Present yo conjugation of fijar, 
Preterite él/ella/usted conjugation of fijar","fijo, fijar, fijar",1,Y,,
Spanish,privatización,privatization,,1,,,
Spanish,competición,competition,,1,,,
Spanish,detectar,to detect,,1,,,
Spanish,cristóbal,Christopher,,1,,,
Spanish,irregularidades,irregularity,,1,,,
Spanish,gobernación,governing,,1,,,
Spanish,asombro,"amazement, 
Present yo conjugation of asombrar, 
Preterite él/ella/usted conjugation of asombrar","asombro, asombrar, asombrar",1,Y,,
Spanish,trigo,wheat,,1,,,
Spanish,tomaron,Preterite ellos/ellas/ustedes conjugation of tomar,tomar,1,Y,,
Spanish,sencillamente,simply,,1,,,
Spanish,masiva,massive,masivo,1,Y,,
Spanish,licencia,"license,leave, 
Present él/ella/usted conjugation of licenciar, 
Affirmative imperative tú conjugation of licenciar","licencia, licenciar, licenciar",1,Y,,
Spanish,quita,"release, 
Present él/ella/usted conjugation of quitar, 
Affirmative imperative tú conjugation of quitar","quita, quitar, quitar",1,Y,,
Spanish,estudiado,"studied, 
studied","estudiado, estudiar",1,Y,,
Spanish,pro,"pro, 
","pro, pro-",1,Y,,
Spanish,negar,to deny,,1,,,
Spanish,recomendaciones,recommendations,recomendación,1,Y,,
Spanish,traído,"worn, 
brought","traído, traer",1,Y,,
Spanish,inauguración,inauguration,,1,,,
Spanish,opuesto,opposite,"opuesto, oponer",1,Y,,
Spanish,gama,"range,spectrum","gama, gamo",1,Y,,
Spanish,rodolfo,Rudolph,,1,,,
Spanish,min,"min, 
l.c., 
Min.","min, min., Min.",1,Y,,
Spanish,manolo,"dandy, 
Manolo","manolo, Manolo",1,Y,,
Spanish,alteración,"alteration, agitation",,1,,,
Spanish,madurez,"maturity, ripeness",,1,,,
Spanish,mérito,merit,,1,,,
Spanish,desarrollados,"Affirmative imperative vosotros conjugation of desarrollar, 
developed","desarrollar, desarrollado",1,Y,,
Spanish,perdiendo,losing,perder,1,Y,,
Spanish,disponible,available,,1,,,
Spanish,iniciales,"Subjunctive tú conjugation of inicialar, 
Subjunctive vos conjugation of inicialar, 
initials","inicialar, inicialar",1,Y,,
Spanish,instantes,moments,instante,1,Y,,
Spanish,satélite,satellite,,1,,,
Spanish,preso,prisoner,,1,,,
Spanish,denominación,name,,1,,,
Spanish,tormenta,storm,,1,,,
Spanish,echa,"Present él/ella/usted conjugation of echar, 
Affirmative imperative tú conjugation of echar, 
Affirmative imperative vos conjugation of echar","echar, echar, echar",1,Y,,
Spanish,ubicado,"located, 
located","ubicado, ubicar",1,Y,,
Spanish,trabajado,"well, 
worked","trabajado, trabajar",1,Y,,
Spanish,integran,Present ellos/ellas/ustedes conjugation of integrar,integrar,1,Y,,
Spanish,sobrevivir,to survive,,1,,,
Spanish,depósitos,warehouses,depósito,1,Y,,
Spanish,publica,"public, audience",,1,,,
Spanish,contribución,contribution,,1,,,
Spanish,vecina,"neighbor, 
neighboring",,1,,,
Spanish,altamente,highly,,1,,,
Spanish,significativa,significant,,1,,,
Spanish,hallaba,"Imperfect yo conjugation of hallar, 
Imperfect él/ella/usted conjugation of hallar","hallar, hallar",1,Y,,
Spanish,llegaban,Imperfect ellos/ellas/ustedes conjugation of llegar,llegar,1,Y,,
Spanish,obligó,"Preterite él/ella/usted conjugation of obligar, 
Present yo conjugation of obligar","obligar, obligar",1,Y,,
Spanish,ancianos,"elderly, 
old men, 
elderly",ancianos,1,Y,,
Spanish,peores,worse,,1,,,
Spanish,vimos,Preterite nosotros conjugation of ver,ver,1,Y,,
Spanish,departamentos,departments,departamento,1,Y,,
Spanish,indiferencia,indifference,,1,,,
Spanish,opera,"Present él/ella/usted conjugation of operar, 
Affirmative imperative tú conjugation of operar, 
opera","operar, operar, ópera",1,Y,,
Spanish,senadores,senators,senador,1,Y,,
Spanish,electrónica,"electronics, 
electronic","electrónica, electrónico",1,Y,,
Spanish,australia,Australia,,1,,,
Spanish,presunto,"supposed, so-called",,1,,,
Spanish,postre,"dessert, 
Subjunctive yo conjugation of postrar, 
Subjunctive él/ella/usted conjugation of postrar","postre, postrar, postrar",1,Y,,
Spanish,asunción,"assumption, 
Assumption","asunción, Asunción",1,Y,,
Spanish,demócrata,"democrat, democratic",,1,,,
Spanish,informado,"informed, 
informed","informado, informar",1,Y,,
Spanish,correspondencia,mail,,1,,,
Spanish,julia,"paddy wagon, 
Julia","julia, Julia",1,Y,,
Spanish,instancias,applications,instancia,1,Y,,
Spanish,solicitó,"Preterite él/ella/usted conjugation of solicitar, 
attentive, 
Present yo conjugation of solicitar","solicitar, solícito, solicitar",1,Y,,
Spanish,usan,Present ellos/ellas/ustedes conjugation of usar,usar,1,Y,,
Spanish,llegará,"Future él/ella/usted conjugation of llegar, 
Imperfect subjunctive yo conjugation of llegar, 
Imperfect subjunctive él/ella/usted conjugation of llegar","llegar, llegar, llegar",1,Y,,
Spanish,aclaró,"Preterite él/ella/usted conjugation of aclarar, 
Present yo conjugation of aclarar","aclarar, aclarar",1,Y,,
Spanish,rehabilitación,"rehabilitation, restoration",,1,,,
Spanish,estrecho,"narrow, 
Present yo conjugation of estrechar, 
Preterite él/ella/usted conjugation of estrechar","estrecho, estrechar, estrechar",1,Y,,
Spanish,colombianos,"Colombians, 
Colombian",,1,,,
Spanish,difícilmente,with difficulty,,1,,,
Spanish,bosnia,Bosnian,,1,,,
Spanish,monedas,"coin, currency",,1,,,
Spanish,firmar,to sign,,1,,,
Spanish,montón,"a ton, pile",,1,,,
Spanish,pedía,"Imperfect yo conjugation of pedir, 
Imperfect él/ella/usted conjugation of pedir","pedir, pedir",1,Y,,
Spanish,huellas,"Present tú conjugation of hollar, 
footprints","hollar, huella",1,Y,,
Spanish,acusa,"Present él/ella/usted conjugation of acusar, 
Affirmative imperative tú conjugation of acusar, 
Affirmative imperative vos conjugation of acusar","acusar, acusar, acusar",1,Y,,
Spanish,tendremos,Future nosotros conjugation of tener,tener,1,Y,,
Spanish,conferencias,"Present tú conjugation of conferenciar, 
lectures, 
Present vos conjugation of conferenciar","conferenciar, conferencia, conferenciar",1,Y,,
Spanish,mandó,"Preterite él/ella/usted conjugation of mandar, 
command, 
Present yo conjugation of mandar","mandar, mando, mandar",1,Y,,
Spanish,cuchillo,knife,,1,,,
Spanish,volverá,Future él/ella/usted conjugation of volver,volver,1,Y,,
Spanish,den,"Subjunctive ellos/ellas/ustedes conjugation of dar, 
Affirmative imperative ustedes conjugation of dar","dar, dar",1,Y,,
Spanish,inconsciente,"unconscious, irresponsible person",,1,,,
Spanish,documental,documentary,,1,,,
Spanish,vertical,"vertical, handstand",,1,,,
Spanish,menú,menu,,1,,,
Spanish,puertos,ports,puerto,1,Y,,
Spanish,occidentales,western,,1,,,
Spanish,produciendo,producing,producir,1,Y,,
Spanish,verdaderos,true,verdadero,1,Y,,
Spanish,oídos,"Affirmative imperative vosotros conjugation of oír, 
heard, 
ears","oír, oír, oído",1,Y,,
Spanish,avanza,"Present él/ella/usted conjugation of avanzar, 
Affirmative imperative tú conjugation of avanzar, 
Affirmative imperative vos conjugation of avanzar","avanzar, avanzar, avanzar",1,Y,,
Spanish,seguían,Imperfect ellos/ellas/ustedes conjugation of seguir,seguir,1,Y,,
Spanish,informaron,Preterite ellos/ellas/ustedes conjugation of informar,informar,1,Y,,
Spanish,serra,Affirmative imperative vos conjugation of serrar,serrar,1,Y,,
Spanish,modernización,modernization,,1,,,
Spanish,pozo,well,,1,,,
Spanish,partidarios,"supporters, 
in favor of",,1,,,
Spanish,variedades,"vaudeville, 
varieties","variedades, variedad",1,Y,,
Spanish,vuestra,"your,yours, 
your","vuestra, vuestro",1,Y,,
Spanish,fruta,"fruit, 
Present él/ella/usted conjugation of frutar, 
Affirmative imperative tú conjugation of frutar","fruta, frutar, frutar",1,Y,,
Spanish,princesa,princess,,1,,,
Spanish,cerro,"hill, 
Preterite él/ella/usted conjugation of cerrar","cerro, cerrar",1,Y,,
Spanish,tocado,"fascinator,bruised, 
touched","tocado, tocar",1,Y,,
Spanish,lucas,"crazy, 
Luke","lucas, luca, Lucas",1,Y,,
Spanish,finalizar,"to finish, to end",,1,,,
Spanish,sudor,sweat,,1,,,
Spanish,vegetación,vegetation,,1,,,
Spanish,funcionar,to work,,1,,,
Spanish,probabilidad,probability,,1,,,
Spanish,revolucionaria,"revolutionary, 
revolutionary, 
Conditional yo conjugation of revolucionar",revolucionar,1,Y,,
Spanish,riego,"irrigation, 
Present yo conjugation of regar","riego, regar",1,Y,,
Spanish,rebeldes,"rebels, 
rebels, 
rebellious",,1,,,
Spanish,supe,Preterite yo conjugation of saber,saber,1,Y,,
Spanish,saco,"sack, 
Present yo conjugation of sacar, 
Preterite él/ella/usted conjugation of sacar","saco, sacar, sacar",1,Y,,
Spanish,completar,to complete,,1,,,
Spanish,surgen,Present ellos/ellas/ustedes conjugation of surgir,surgir,1,Y,,
Spanish,acusados,"Affirmative imperative vosotros conjugation of acusar, 
accused, 
pronounced","acusar, acusar",1,Y,,
Spanish,coincide,"Present él/ella/usted conjugation of coincidir, 
Affirmative imperative tú conjugation of coincidir","coincidir, coincidir",1,Y,,
Spanish,necesitamos,"Present nosotros conjugation of necesitar, 
Preterite nosotros conjugation of necesitar","necesitar, necesitar",1,Y,,
Spanish,alcaldía,"mayoralty, city hall",,1,,,
Spanish,peces,fishes,pez,1,Y,,
Spanish,realizarse,to come true,,1,,,
Spanish,tradiciones,traditions,tradición,1,Y,,
Spanish,muertes,deaths,muerte,1,Y,,
Spanish,nostalgia,nostalgia,,1,,,
Spanish,series,"Subjunctive tú conjugation of seriar, 
Subjunctive vos conjugation of seriar","seriar, seriar, serie",1,Y,,
Spanish,representaciones,"representations, 
representations","representaciones, representación",1,Y,,
Spanish,anciano,"elderly, 
Present yo conjugation of ancianar, 
Preterite él/ella/usted conjugation of ancianar","anciano, ancianar, ancianar",1,Y,,
Spanish,traer,to bring,,1,,,
Spanish,estadística,"statistics, 
statistician, 
statistical",estadística,1,Y,,
